den	base	label	type	pre_len	period_len	pre	period
103	16	HEX	R	0	51		027C45979C95204F88B2F392A409F1165E7254813E22CBCE4A9
104	10	DEC	R	3	6	009	615384
104	2	BIN	R	3	12	000	000100111011
104	8	OCT	R	1	4	0	0473
104	16	HEX	R	1	3	0	276
105	10	DEC	R	1	6	0	095238
105	2	BIN	R	0	12		000000100111
105	8	OCT	R	0	4		0047
105	16	HEX	R	0	3		027
106	10	DEC	R	1	13	0	0943396226415
106	2	BIN	R	1	52	0	0000010011010100100001110011111011001010110111100011
106	8	OCT	R	1	52	0	0465103476625570602324416373126743011522071754533614
106	16	HEX	R	1	13	0	26A439F656F18
107	10	DEC	R	0	53		00934579439252336448598130841121495327102803738317757
107	2	BIN	T	80	0	00000010011001000111110001101001010001010110001000010111111011001101110000011100	
107	8	OCT	T	80	0	00462174322425420576633407132724736402310761512126102773156034553523572011443706	
107	16	HEX	R	0	53		02647C69456217ECDC1CB5D4EF40991F1A515885FB37072D753BD
108	10	DEC	R	2	3	00	925
108	2	BIN	R	2	18	00	000010010111101101
108	8	OCT	R	1	6	0	045732
108	16	HEX	R	1	9	0	25ED097B4
109	10	DEC	T	80	0	00917431192660550458715596330275229357798165137614678899082568807339449541284403	
109	2	BIN	R	0	36		000000100101100100111111011010011011
109	8	OCT	R	0	12		004544773233
109	16	HEX	R	0	9		02593F69B
110	10	DEC	R	1	2	0	09
110	2	BIN	R	1	20	0	00000100101001111001
110	8	OCT	R	1	20	0	04517101123620224744
110	16	HEX	R	1	5	0	253C8
111	10	DEC	R	0	3		009
111	2	BIN	R	0	36		000000100100111001101010000101110001
111	8	OCT	R	0	12		004471520561
111	16	HEX	R	0	9		024E6A171
112	10	DEC	R	4	6	0089	285714
112	2	BIN	R	4	3	0000	001
112	8	OCT	R	2	1	00	4
112	16	HEX	R	1	3	0	249
113	10	DEC	T	80	0	00884955752212389380530973451327433628318584070796460176991150442477876106194690	
113	2	BIN	R	0	28		0000001001000011111101101111
113	8	OCT	R	0	28		0044176674022077336011037557
113	16	HEX	R	0	7		0243F6F
114	10	DEC	R	1	18	0	087719298245614035
114	2	BIN	R	1	18	0	000001000111110111
114	8	OCT	R	1	6	0	043734
114	16	HEX	R	1	9	0	23EE08FB8
115	10	DEC	R	1	22	0	0869565217391304347826
115	2	BIN	R	0	44		00000010001110011110000011010101101101000101
115	8	OCT	R	0	44		00434740653321201071701526642402163603255505
115	16	HEX	R	0	11		0239E0D5B45
116	10	DEC	R	2	28	00	8620689655172413793103448275
116	2	BIN	R	2	28	00	0000100011010011110111001011
116	8	OCT	R	1	28	0	0432367130215173454106475626
116	16	HEX	R	1	7	0	234F72C
117	10	DEC	R	0	6		008547
117	2	BIN	R	0	12		000000100011
117	8	OCT	R	0	4		0043
117	16	HEX	R	0	3		023
118	10	DEC	R	1	58	0	0847457627118644067796610169491525423728813559322033898305
118	2	BIN	R	1	58	0	0000010001010110110001111001011111011101010010011100001101
118	8	OCT	R	1	58	0	0425543627672447032021266171373522341501053307457565116064
118	16	HEX	R	1	29	0	22B63CBEEA4E1A08AD8F2FBA93868
119	10	DEC	R	0	48		008403361344537815126050420168067226890756302521
119	2	BIN	R	0	24		000000100010011010111001
119	8	OCT	R	0	8		00423271
119	16	HEX	R	0	6		0226B9
120	10	DEC	R	3	1	008	3
120	2	BIN	R	3	4	000	0001
120	8	OCT	R	1	4	0	0421
120	16	HEX	R	1	1	0	2
121	10	DEC	R	0	22		0082644628099173553719
121	2	BIN	T	80	0	00000010000111011001111010101101011111001101001110010001111110111100010011000010	
121	8	OCT	T	80	0	00416636532763234437570460522406261560103547526574647107736114124501454334020731	
121	16	HEX	R	0	55		021D9EAD7CD391FBC4C2A50658DC08767AB5F34E47EF130A9419637
122	10	DEC	R	1	60	0	081967213114754098360655737704918032786885245901639344262295
122	2	BIN	R	1	60	0	000001000011001001011100010100111110111100110110100011101011
122	8	OCT	R	1	20	0	04144561237363321654
122	16	HEX	R	1	15	0	2192E29F79B4758
123	10	DEC	R	0	5		00813
123	2	BIN	R	0	20		00000010000101001101
123	8	OCT	R	0	20		00412320102464020515
123	16	HEX	R	0	5		0214D
124	10	DEC	R	2	15	00	806451612903225
124	2	BIN	R	2	5	00	00001
124	8	OCT	R	1	5	0	04102
124	16	HEX	R	1	5	0	21084
125	10	DEC	T	3	0	008	
125	2	BIN	T	80	0	00000010000011000100100110111010010111100011010100111111011111001110110110010001	
125	8	OCT	T	80	0	00406111564570651767635544264162540203044672274324773716662132071260101422335136	
125	16	HEX	R	0	25		020C49BA5E353F7CED916872B
126	10	DEC	R	1	6	0	079365
126	2	BIN	R	1	6	0	000001
126	8	OCT	R	1	2	0	04
126	16	HEX	R	1	3	0	208
127	10	DEC	R	0	42		007874015748031496062992125984251968503937
127	2	BIN	R	0	7		0000001
127	8	OCT	R	0	7		0040201
127	16	HEX	R	0	7		0204081
128	10	DEC	T	7	0	0078125	
128	2	BIN	T	7	0	0000001	
128	8	OCT	T	3	0	004	
128	16	HEX	T	2	0	02	
